land_size_acres,experience_years,loan_amount,loan_amount_per_acre,loan_to_experience_ratio,crop_type,crop_season_risk,irrigation,soil_quality,yield_variance,rainfall_deviation,market_volatility,repayment_history,loan_purpose,default_risk
5.38,8,462622,85989.22,51402.44,rice,low,rainfed,average,0.97,5,medium,good,productive,0
0.96,21,21192,22075.0,963.27,cotton,low,partial,poor,0.13,6,medium,poor,semi,1
4.26,0,161415,37890.85,161415.0,cotton,low,assured,poor,0.62,38,medium,none,semi,1
5.74,30,458117,79811.32,14777.97,pulses,low,rainfed,average,0.98,3,low,mixed,semi,0
2.43,29,279452,115000.82,9315.07,millets,high,rainfed,average,0.42,34,medium,good,consumption,1
1.1,0,492108,447370.91,492108.0,cotton,high,partial,average,0.51,22,medium,none,semi,1
0.91,10,146604,161103.3,13327.64,cotton,high,assured,average,0.29,32,high,none,consumption,1
3.36,12,336766,100227.98,25905.08,wheat,high,partial,good,0.23,16,high,poor,productive,0
3.48,19,168279,48356.03,8413.95,rice,low,partial,average,0.47,18,high,poor,consumption,1
1.7,1,64980,38223.53,32490.0,wheat,high,partial,poor,0.34,40,high,none,productive,1
0.9,3,76604,85115.56,19151.0,pulses,low,assured,poor,0.7,18,medium,none,consumption,1
4.71,28,449842,95507.86,15511.79,wheat,high,assured,poor,0.34,17,medium,poor,productive,0
4.59,16,35320,7694.99,2077.65,rice,low,assured,good,0.65,6,low,poor,semi,0
3.35,14,179043,53445.67,11936.2,wheat,low,partial,poor,0.73,26,low,good,consumption,0
3.9,26,101759,26092.05,3768.85,maize,low,rainfed,average,0.74,1,high,mixed,productive,0
5.43,7,366434,67483.24,45804.25,pulses,low,rainfed,poor,0.79,4,medium,mixed,productive,0
1.29,7,170331,132039.53,21291.38,wheat,low,rainfed,average,0.12,2,medium,mixed,consumption,1
1.83,1,254787,139227.87,127393.5,wheat,high,partial,average,0.2,33,high,poor,productive,1
5.54,26,84814,15309.39,3141.26,pulses,low,partial,average,0.59,37,medium,good,productive,0
0.63,1,25763,40893.65,12881.5,millets,high,partial,average,0.78,3,high,none,semi,1
1.07,20,483670,452028.04,23031.9,pulses,low,assured,good,0.11,20,low,good,consumption,0
2.03,9,491042,241892.61,49104.2,cotton,high,assured,good,0.76,5,low,mixed,semi,1
3.36,12,9259,2755.65,712.23,rice,low,rainfed,poor,0.58,7,high,mixed,productive,0
1.49,18,469063,314807.38,24687.53,pulses,low,assured,good,0.94,9,high,poor,productive,1
0.56,7,433335,773812.5,54166.88,pulses,low,assured,average,0.81,26,high,none,productive,1
5.11,13,158971,31109.78,11355.07,millets,high,rainfed,good,0.48,5,low,poor,semi,1
5.52,12,29980,5431.16,2306.15,millets,high,rainfed,good,0.83,20,low,none,consumption,1
1.68,5,401209,238814.88,66868.17,millets,high,assured,average,0.42,22,low,none,consumption,1
1.34,30,98627,73602.24,3181.52,maize,low,rainfed,good,0.88,21,medium,none,semi,1
4.28,0,110747,25875.47,110747.0,rice,low,assured,poor,0.58,7,low,mixed,semi,1
0.62,4,257845,415879.03,51569.0,maize,low,assured,poor,0.98,11,low,none,semi,1
3.07,29,130418,42481.43,4347.27,millets,high,partial,poor,0.34,5,medium,good,semi,0
1.8,28,19996,11108.89,689.52,pulses,low,assured,good,0.21,23,low,poor,productive,0
1.44,16,38820,26958.33,2283.53,cotton,low,assured,poor,0.12,34,medium,mixed,consumption,0
5.68,7,412915,72696.3,51614.38,millets,high,partial,good,0.57,37,medium,good,consumption,0
0.91,21,68434,75202.2,3110.64,rice,low,partial,average,0.45,19,medium,mixed,productive,0
4.54,24,498637,109831.94,19945.48,cotton,low,rainfed,good,0.86,12,low,none,consumption,1
4.33,23,218756,50521.02,9114.83,maize,low,assured,good,0.37,21,high,good,semi,0
4.3,28,339563,78968.14,11709.07,cotton,high,partial,average,0.6,11,low,good,consumption,0
1.71,4,90157,52723.39,18031.4,millets,high,rainfed,good,0.58,29,medium,good,semi,0
2.74,0,207275,75647.81,207275.0,wheat,low,assured,poor,0.74,26,medium,poor,consumption,1
1.0,12,262506,262506.0,20192.77,maize,low,assured,good,0.82,34,high,good,semi,1
2.24,29,420695,187810.27,14023.17,pulses,low,rainfed,average,0.51,27,high,none,semi,1
5.71,4,249733,43736.08,49946.6,cotton,high,rainfed,average,0.63,15,medium,good,productive,0
1.37,12,311669,227495.62,23974.54,wheat,high,assured,good,0.39,17,medium,good,consumption,1
5.72,21,182740,31947.55,8306.36,maize,low,rainfed,average,0.47,33,medium,mixed,semi,0
5.09,15,87638,17217.68,5477.38,maize,low,partial,poor,0.74,6,low,poor,semi,1
5.34,10,445208,83372.28,40473.45,maize,low,assured,good,0.6,20,medium,mixed,productive,0
5.67,22,224883,39661.9,9777.52,millets,high,assured,poor,0.4,34,low,good,consumption,1
2.69,17,16685,6202.6,926.94,maize,low,assured,good,0.66,26,low,good,consumption,0
2.47,17,393912,159478.54,21884.0,cotton,low,assured,poor,0.53,18,medium,mixed,consumption,1
1.33,29,87591,65857.89,2919.7,maize,low,partial,good,0.82,16,low,mixed,consumption,0
1.31,25,30829,23533.59,1185.73,maize,low,partial,poor,0.92,6,high,good,productive,0
1.73,24,219353,126793.64,8774.12,wheat,low,assured,good,0.58,12,low,mixed,semi,0
3.07,0,56194,18304.23,56194.0,pulses,low,rainfed,average,0.14,6,medium,good,semi,0
5.98,21,390226,65255.18,17737.55,wheat,high,rainfed,good,0.94,2,low,none,productive,1
3.09,6,394317,127610.68,56331.0,cotton,high,assured,average,0.66,26,medium,poor,consumption,1
0.94,5,198190,210840.43,33031.67,maize,low,partial,average,0.65,32,medium,none,semi,1
5.69,10,252672,44406.33,22970.18,cotton,high,partial,average,0.2,4,low,good,productive,0
4.2,0,19844,4724.76,19844.0,rice,low,assured,average,0.84,14,medium,none,consumption,1
5.82,29,129311,22218.38,4310.37,cotton,high,assured,average,0.97,16,low,mixed,semi,0
5.76,25,462910,80366.32,17804.23,pulses,low,partial,good,0.18,16,medium,good,semi,0
1.86,19,337649,181531.72,16882.45,cotton,low,assured,poor,0.39,6,medium,poor,consumption,1
2.47,13,59558,24112.55,4254.14,millets,low,rainfed,good,0.87,26,medium,none,semi,1
2.89,1,342612,118550.87,171306.0,cotton,high,assured,good,0.61,33,medium,good,semi,1
1.94,24,490299,252731.44,19611.96,wheat,low,rainfed,poor,0.54,0,low,none,consumption,1
5.09,23,138580,27225.93,5774.17,wheat,high,rainfed,poor,0.31,26,medium,mixed,semi,0
1.23,4,197222,160343.09,39444.4,rice,low,partial,good,0.89,30,high,none,productive,1
1.7,3,337568,198569.41,84392.0,millets,high,assured,good,0.5,20,high,good,consumption,1
2.29,6,235115,102670.31,33587.86,rice,low,rainfed,poor,0.6,39,high,mixed,productive,0
4.19,24,377843,90177.33,15113.72,wheat,high,rainfed,good,0.17,30,high,good,semi,0
4.9,8,405609,82777.35,45067.67,pulses,low,assured,good,0.88,3,high,good,semi,0
1.77,9,203772,115125.42,20377.2,wheat,low,rainfed,good,0.37,20,high,good,semi,0
2.91,12,234138,80459.79,18010.62,cotton,low,partial,average,0.49,1,low,poor,productive,0
3.75,17,325460,86789.33,18081.11,wheat,low,rainfed,average,0.3,1,high,good,semi,0
4.55,15,130369,28652.53,8148.06,millets,high,rainfed,good,0.8,20,high,none,semi,1
0.51,7,430434,843988.24,53804.25,maize,low,assured,good,0.44,39,low,good,semi,1
1.35,21,214165,158640.74,9734.77,pulses,low,partial,poor,0.69,2,medium,mixed,productive,0
4.72,8,307588,65166.95,34176.44,pulses,low,assured,poor,0.91,39,high,mixed,consumption,1
1.31,30,148484,113346.56,4789.81,rice,low,assured,good,0.48,11,medium,mixed,consumption,0
4.14,28,120904,29203.86,4169.1,rice,low,assured,good,0.92,33,low,good,semi,0
2.88,26,200574,69643.75,7428.67,maize,low,assured,poor,0.65,19,medium,good,consumption,0
0.63,6,116830,185444.44,16690.0,millets,low,partial,good,0.74,18,low,none,semi,1
5.54,19,380795,68735.56,19039.75,wheat,high,assured,good,0.83,29,medium,none,productive,0
5.44,13,190263,34974.82,13590.21,cotton,low,assured,poor,0.31,17,high,mixed,consumption,0
4.09,17,59899,14645.23,3327.72,millets,low,assured,average,0.59,4,low,mixed,semi,0
5.82,30,110150,18926.12,3553.23,rice,low,partial,average,0.25,15,high,none,consumption,1
5.99,25,199164,33249.42,7660.15,cotton,low,assured,poor,0.26,26,high,poor,semi,1
3.42,25,177287,51838.3,6818.73,maize,low,partial,good,0.71,7,medium,none,productive,0
2.41,25,133689,55472.61,5141.88,pulses,low,partial,good,0.17,2,low,good,consumption,0
1.68,4,22800,13571.43,4560.0,maize,low,partial,poor,0.3,24,low,good,semi,0
1.99,29,411384,206725.63,13712.8,pulses,low,rainfed,poor,0.83,7,high,poor,productive,1
5.95,9,182388,30653.45,18238.8,maize,low,rainfed,good,0.29,5,medium,good,semi,0
5.46,0,338784,62048.35,338784.0,pulses,low,rainfed,average,0.66,29,high,good,consumption,1
5.07,4,290359,57270.02,58071.8,pulses,low,rainfed,average,0.66,17,high,mixed,productive,0
3.29,12,427807,130032.52,32908.23,maize,low,partial,good,0.48,28,low,none,productive,0
1.51,18,389281,257801.99,20488.47,wheat,high,rainfed,good,0.92,20,low,mixed,consumption,1
4.05,8,491629,121389.88,54625.44,rice,low,partial,poor,0.63,3,medium,none,semi,1
1.77,8,327886,185246.33,36431.78,cotton,high,rainfed,poor,0.16,32,medium,none,semi,1
3.27,5,51149,15641.9,8524.83,rice,low,rainfed,poor,0.67,28,low,good,semi,0
3.87,7,455332,117656.85,56916.5,wheat,high,assured,poor,0.74,17,low,none,semi,1
3.63,17,223785,61648.76,12432.5,millets,low,assured,poor,0.21,32,high,good,productive,0
5.45,5,326628,59931.74,54438.0,wheat,low,partial,good,0.94,18,high,none,productive,0
5.75,13,35568,6185.74,2540.57,maize,low,assured,average,0.8,2,low,poor,semi,0
1.73,17,169110,97751.45,9395.0,cotton,low,partial,good,0.64,19,medium,good,semi,0
4.14,24,382764,92455.07,15310.56,maize,low,assured,poor,0.43,40,medium,mixed,semi,0
4.03,2,347448,86215.38,115816.0,cotton,high,assured,good,0.95,17,medium,good,semi,1
5.82,5,112795,19380.58,18799.17,maize,low,rainfed,average,0.42,10,high,none,semi,1
3.53,16,359577,101863.17,21151.59,rice,low,rainfed,poor,0.83,3,high,mixed,productive,0
3.7,22,497638,134496.76,21636.43,millets,high,partial,poor,0.43,21,high,mixed,productive,1
5.39,10,105283,19533.02,9571.18,maize,low,partial,average,0.91,3,high,none,semi,1
3.06,15,167375,54697.71,10460.94,wheat,low,rainfed,average,0.42,18,low,poor,consumption,1
2.54,12,295699,116416.93,22746.08,wheat,high,partial,poor,0.41,9,medium,mixed,semi,0
5.3,10,335264,63257.36,30478.55,cotton,high,partial,good,0.35,25,medium,good,semi,0
5.14,17,121960,23727.63,6775.56,rice,low,partial,average,0.55,14,high,mixed,consumption,0
2.13,11,165625,77758.22,13802.08,rice,low,rainfed,good,0.16,31,medium,none,consumption,1
5.21,30,26602,5105.95,858.13,maize,low,assured,good,0.19,22,medium,poor,semi,0
1.15,1,139023,120889.57,69511.5,rice,low,partial,poor,0.66,24,high,mixed,consumption,1
5.44,24,472050,86773.9,18882.0,pulses,low,rainfed,good,0.24,7,medium,mixed,consumption,0
4.62,4,230348,49858.87,46069.6,maize,low,assured,average,0.16,37,high,poor,productive,0
1.59,13,32318,20325.79,2308.43,millets,low,partial,good,0.85,38,low,poor,semi,1
3.13,9,350661,112032.27,35066.1,millets,high,partial,good,0.63,19,high,mixed,productive,0
1.43,7,490859,343258.04,61357.38,pulses,low,partial,poor,0.52,9,medium,poor,productive,1
0.67,12,128552,191868.66,9888.62,millets,high,rainfed,average,0.2,10,medium,poor,productive,1
4.5,24,143462,31880.44,5738.48,millets,low,partial,poor,0.44,13,low,none,consumption,1
5.66,13,252009,44524.56,18000.64,maize,low,rainfed,good,0.91,28,low,none,semi,1
2.85,5,325707,114283.16,54284.5,wheat,low,assured,good,0.82,0,high,none,consumption,1
2.59,5,489966,189176.06,81661.0,maize,low,rainfed,average,0.39,28,high,mixed,semi,1
0.97,13,221228,228070.1,15802.0,cotton,low,assured,good,0.33,10,low,mixed,productive,0
3.84,0,218937,57014.84,218937.0,cotton,low,rainfed,good,0.74,27,high,none,consumption,1
0.51,8,416830,817313.73,46314.44,rice,low,partial,good,0.86,21,medium,mixed,productive,0
3.05,1,188499,61802.95,94249.5,rice,low,partial,average,0.92,25,medium,good,consumption,1
5.27,9,474881,90110.25,47488.1,millets,low,rainfed,poor,0.29,34,high,none,consumption,1
5.58,16,347100,62204.3,20417.65,pulses,low,assured,average,0.71,27,medium,mixed,consumption,0
2.33,15,122764,52688.41,7672.75,rice,low,rainfed,average,0.97,13,high,mixed,productive,0
2.72,29,124551,45790.81,4151.7,wheat,high,partial,average,0.52,14,medium,mixed,consumption,0
4.71,25,290578,61693.84,11176.08,wheat,low,rainfed,poor,0.91,7,low,good,productive,0
4.65,4,195951,42140.0,39190.2,maize,low,assured,good,0.71,28,low,none,semi,0
4.54,18,415567,91534.58,21871.95,rice,low,partial,poor,0.47,13,medium,mixed,semi,0
2.05,22,382206,186441.95,16617.65,rice,low,partial,good,0.57,38,low,good,semi,0
5.39,14,79172,14688.68,5278.13,maize,low,assured,poor,0.39,38,low,poor,productive,0
2.05,9,313068,152716.1,31306.8,rice,low,rainfed,poor,0.22,16,high,poor,semi,1
3.69,11,246004,66667.75,20500.33,pulses,low,partial,good,0.94,36,medium,good,productive,0
3.68,14,381051,103546.47,25403.4,millets,high,assured,poor,0.15,34,high,mixed,semi,1
2.04,2,417464,204639.22,139154.67,wheat,high,partial,average,0.72,11,medium,mixed,productive,1
0.61,16,489906,803124.59,28818.0,cotton,low,partial,poor,0.23,32,medium,none,consumption,1
2.82,23,463289,164286.88,19303.71,cotton,high,partial,good,0.28,8,medium,mixed,productive,0
1.16,12,248679,214378.45,19129.15,pulses,low,partial,average,0.28,12,medium,good,productive,0
4.2,0,368018,87623.33,368018.0,cotton,high,assured,poor,0.35,19,medium,none,semi,1
5.02,30,126262,25151.79,4072.97,rice,low,rainfed,poor,0.4,5,medium,good,productive,0
5.05,19,435256,86189.31,21762.8,millets,low,partial,good,0.18,14,low,good,consumption,0
3.45,19,14302,4145.51,715.1,millets,low,assured,poor,0.8,33,medium,poor,semi,1
1.4,24,9538,6812.86,381.52,maize,low,rainfed,average,0.48,12,low,good,semi,0
4.42,25,425302,96222.17,16357.77,maize,low,rainfed,good,0.23,5,medium,poor,productive,0
2.29,5,335669,146580.35,55944.83,wheat,low,rainfed,average,0.31,28,high,good,productive,0
3.63,11,195398,53828.65,16283.17,cotton,high,assured,average,0.74,32,high,poor,consumption,1
0.99,13,348132,351648.48,24866.57,millets,low,rainfed,good,0.68,26,medium,good,semi,1
4.12,4,288122,69932.52,57624.4,maize,low,partial,poor,0.16,24,low,poor,productive,0
0.88,10,196220,222977.27,17838.18,wheat,low,assured,good,0.92,26,low,poor,productive,1
5.42,21,347529,64119.74,15796.77,pulses,low,rainfed,good,0.12,29,medium,mixed,productive,0
1.13,30,179692,159019.47,5796.52,pulses,low,rainfed,average,0.21,35,high,poor,semi,1
3.83,4,179447,46853.0,35889.4,rice,low,assured,average,0.55,11,high,poor,productive,0
1.78,3,24254,13625.84,6063.5,rice,low,partial,good,0.88,24,medium,mixed,consumption,0
0.55,27,297024,540043.64,10608.0,rice,low,assured,poor,0.44,3,high,mixed,consumption,1
1.33,8,239365,179973.68,26596.11,maize,low,assured,average,0.11,20,medium,good,semi,0
5.86,23,215643,36799.15,8985.12,maize,low,rainfed,good,0.37,3,high,good,consumption,0
4.69,11,228298,48677.61,19024.83,cotton,high,rainfed,poor,0.56,5,high,good,consumption,1
4.08,7,314947,77192.89,39368.38,rice,low,assured,poor,0.48,38,medium,none,productive,0
3.88,16,360254,92848.97,21191.41,rice,low,rainfed,average,0.68,22,high,poor,consumption,1
0.55,28,220177,400321.82,7592.31,millets,high,rainfed,poor,0.31,12,high,good,consumption,1
2.15,20,356448,165789.77,16973.71,maize,low,assured,average,0.5,36,medium,good,semi,0
5.45,13,241947,44393.94,17281.93,millets,high,rainfed,average,0.27,19,high,good,semi,0
3.07,14,420207,136875.24,28013.8,maize,low,assured,poor,0.57,2,medium,poor,consumption,1
1.35,20,144132,106764.44,6863.43,cotton,low,rainfed,poor,0.14,16,low,none,consumption,1
0.64,16,462790,723109.38,27222.94,pulses,low,assured,average,0.97,17,low,none,semi,1
3.57,5,383822,107513.17,63970.33,cotton,high,partial,average,0.45,23,high,poor,consumption,1
1.98,13,326893,165097.47,23349.5,maize,low,rainfed,poor,0.52,37,high,good,productive,1
2.78,11,488171,175601.08,40680.92,millets,low,assured,average,0.96,32,low,mixed,productive,0
2.57,2,298391,116105.45,99463.67,cotton,low,partial,good,0.38,29,low,poor,consumption,1
1.65,6,59239,35902.42,8462.71,millets,high,partial,average,0.31,21,high,none,consumption,1
4.24,13,446097,105211.56,31864.07,pulses,low,partial,poor,0.57,2,low,good,semi,0
5.68,0,215141,37876.94,215141.0,cotton,high,rainfed,good,0.83,10,high,good,semi,1
1.46,3,259090,177458.9,64772.5,millets,high,assured,poor,0.98,22,high,good,semi,1
5.19,15,17782,3426.2,1111.38,wheat,high,assured,good,0.59,9,medium,none,semi,0
3.39,24,312342,92136.28,12493.68,wheat,low,assured,poor,0.12,32,high,good,semi,0
4.61,21,134990,29282.0,6135.91,millets,high,partial,poor,0.15,21,medium,mixed,semi,0
3.62,4,246714,68153.04,49342.8,cotton,low,partial,poor,0.83,5,medium,none,productive,0
5.44,0,114751,21093.93,114751.0,millets,low,partial,poor,0.12,2,high,poor,productive,1
4.29,21,349436,81453.61,15883.45,wheat,low,rainfed,poor,0.57,2,low,mixed,semi,0
3.63,12,244493,67353.44,18807.15,maize,low,rainfed,average,0.68,22,medium,poor,productive,0
4.88,27,249338,51093.85,8904.93,millets,low,partial,average,0.65,39,medium,mixed,productive,0
3.52,22,308649,87684.38,13419.52,wheat,low,partial,good,0.74,23,medium,poor,semi,0
0.63,11,340653,540719.05,28387.75,wheat,high,rainfed,average,0.96,24,high,poor,consumption,1
1.17,28,219121,187282.91,7555.9,cotton,low,partial,good,0.39,8,low,none,semi,1
5.48,19,67153,12254.2,3357.65,rice,low,partial,good,0.31,25,low,good,semi,0
5.98,6,474232,79303.01,67747.43,maize,low,rainfed,average,0.15,18,medium,poor,semi,1
4.64,19,323310,69678.88,16165.5,pulses,low,assured,average,0.95,25,high,mixed,consumption,0
5.61,10,386558,68905.17,35141.64,millets,high,assured,poor,0.35,0,low,good,consumption,0
3.14,22,225397,71782.48,9799.87,maize,low,partial,average,0.77,23,medium,good,consumption,0
1.92,21,424643,221168.23,19301.95,millets,low,partial,poor,0.28,1,high,none,consumption,1
2.38,2,49095,20628.15,16365.0,maize,low,assured,average,0.89,25,medium,good,semi,0
3.53,24,299705,84902.27,11988.2,rice,low,partial,poor,0.44,36,medium,good,productive,0
5.04,27,492540,97726.19,17590.71,millets,low,assured,average,0.7,2,high,none,consumption,1
5.52,30,390799,70796.92,12606.42,wheat,low,rainfed,poor,0.72,28,low,none,consumption,1
5.53,6,26977,4878.3,3853.86,millets,low,assured,average,0.57,26,low,mixed,productive,0
1.1,28,425888,387170.91,14685.79,pulses,low,rainfed,poor,0.99,0,medium,good,productive,1
3.28,4,63290,19295.73,12658.0,cotton,high,rainfed,average,0.7,10,medium,mixed,productive,0
1.48,28,242133,163603.38,8349.41,pulses,low,assured,good,0.23,22,medium,good,semi,0
4.24,2,133432,31469.81,44477.33,pulses,low,rainfed,average,0.51,4,low,mixed,semi,0
5.68,22,369796,65104.93,16078.09,pulses,low,rainfed,poor,0.13,15,medium,mixed,consumption,0
5.92,21,125345,21173.14,5697.5,cotton,low,rainfed,good,0.44,18,low,poor,semi,0
1.4,22,158569,113263.57,6894.3,millets,high,partial,average,0.77,0,high,poor,semi,1
3.88,9,393709,101471.39,39370.9,cotton,low,rainfed,poor,0.97,16,medium,good,productive,0
1.23,19,443543,360604.07,22177.15,maize,low,partial,good,0.33,10,medium,good,semi,0
2.2,19,119060,54118.18,5953.0,maize,low,assured,poor,0.11,20,high,mixed,consumption,0
0.97,29,179081,184619.59,5969.37,maize,low,assured,poor,0.75,22,medium,poor,consumption,1
0.75,11,85062,113416.0,7088.5,wheat,low,partial,average,0.9,7,high,poor,productive,1
5.45,13,492356,90340.55,35168.29,rice,low,assured,good,0.38,19,high,none,semi,0
4.43,12,15772,3560.27,1213.23,rice,low,assured,average,0.31,29,medium,poor,productive,0
2.61,0,281254,107760.15,281254.0,millets,high,assured,poor,0.74,5,low,poor,productive,1
3.45,14,386294,111969.28,25752.93,maize,low,assured,poor,0.23,7,low,none,consumption,1
1.29,9,158444,122824.81,15844.4,pulses,low,rainfed,average,0.15,37,low,none,productive,1
4.89,11,22382,4577.1,1865.17,wheat,high,rainfed,good,0.4,25,medium,good,productive,0
2.73,18,66938,24519.41,3523.05,millets,low,partial,poor,0.87,7,medium,good,productive,0
3.66,1,469346,128236.61,234673.0,millets,high,rainfed,average,0.4,22,medium,none,semi,1
2.09,8,305886,146356.94,33987.33,cotton,high,assured,average,0.25,32,high,poor,productive,1
4.99,28,188907,37857.11,6514.03,rice,low,partial,good,0.86,8,high,poor,consumption,1
5.12,21,161466,31536.33,7339.36,rice,low,rainfed,average,0.45,24,low,none,productive,0
3.01,26,402659,133773.75,14913.3,pulses,low,rainfed,good,0.22,6,low,none,productive,1
3.06,12,105412,34448.37,8108.62,maize,low,partial,good,0.13,2,low,mixed,consumption,0
4.57,21,300313,65714.0,13650.59,millets,high,assured,good,0.37,20,high,poor,consumption,1
5.98,18,433146,72432.44,22797.16,millets,high,rainfed,good,0.55,31,medium,none,consumption,1
5.6,2,167276,29870.71,55758.67,maize,low,rainfed,poor,0.98,2,high,mixed,semi,1
1.91,20,94315,49379.58,4491.19,maize,low,partial,average,1.0,10,low,none,productive,0
1.78,17,240216,134952.81,13345.33,pulses,low,assured,poor,0.13,40,medium,none,consumption,1
2.49,30,19606,7873.9,632.45,pulses,low,assured,poor,0.39,29,medium,mixed,consumption,0
1.44,22,32878,22831.94,1429.48,pulses,low,assured,poor,0.99,9,high,none,consumption,1
1.71,5,427665,250096.49,71277.5,rice,low,assured,poor,0.86,16,low,good,semi,1
3.16,22,10300,3259.49,447.83,pulses,low,rainfed,poor,0.5,39,high,mixed,semi,1
5.36,5,214513,40021.08,35752.17,pulses,low,partial,average,0.63,18,low,good,productive,0
1.03,11,235948,229075.73,19662.33,millets,high,assured,poor,0.96,17,high,mixed,semi,1
3.61,26,66660,18465.37,2468.89,pulses,low,assured,poor,0.29,31,high,none,consumption,1
4.24,15,313157,73857.78,19572.31,maize,low,partial,good,0.67,30,high,poor,semi,0
4.13,14,413629,100152.3,27575.27,millets,high,assured,poor,0.57,35,high,mixed,semi,1
2.75,13,274413,99786.55,19600.93,cotton,high,rainfed,good,0.81,39,low,none,semi,1
3.09,28,494981,160188.03,17068.31,pulses,low,partial,good,0.18,36,high,none,productive,1
0.81,11,33686,41587.65,2807.17,maize,low,rainfed,poor,0.68,20,medium,none,productive,1
2.89,1,171413,59312.46,85706.5,wheat,high,partial,good,0.32,39,high,good,semi,1
0.86,15,234011,272105.81,14625.69,cotton,low,rainfed,poor,0.68,21,medium,poor,semi,1
5.61,28,333985,59533.87,11516.72,millets,high,partial,good,0.39,28,medium,none,consumption,1
5.24,1,368899,70400.57,184449.5,cotton,low,assured,poor,0.8,22,high,poor,productive,1
1.95,10,478688,245481.03,43517.09,rice,low,assured,good,0.76,15,medium,mixed,semi,0
1.55,5,169528,109372.9,28254.67,maize,low,rainfed,average,0.71,28,medium,good,productive,0
1.13,11,85128,75334.51,7094.0,rice,low,assured,poor,0.65,15,medium,none,semi,0
5.99,5,95300,15909.85,15883.33,cotton,high,rainfed,poor,0.16,20,low,mixed,consumption,1
3.11,7,171908,55275.88,21488.5,pulses,low,assured,good,0.26,21,low,good,productive,0
0.51,21,468120,917882.35,21278.18,rice,low,assured,poor,0.83,4,high,good,consumption,1
3.05,13,346337,113553.11,24738.36,cotton,low,rainfed,average,0.97,24,low,poor,semi,1
1.43,21,416031,290930.77,18910.5,pulses,low,rainfed,poor,0.87,37,low,none,consumption,1
5.93,15,360342,60765.94,22521.38,millets,high,rainfed,average,0.24,0,low,good,productive,0
3.93,15,174188,44322.65,10886.75,maize,low,assured,poor,0.39,31,high,good,productive,0
1.33,29,54549,41014.29,1818.3,maize,low,rainfed,average,0.16,29,low,none,productive,0
2.33,10,137128,58853.22,12466.18,wheat,high,assured,average,0.56,34,low,good,semi,0
3.75,16,262016,69870.93,15412.71,pulses,low,rainfed,good,0.24,8,high,poor,productive,0
3.63,5,395345,108910.47,65890.83,maize,low,assured,good,0.34,12,medium,poor,consumption,1
5.46,4,22501,4121.06,4500.2,rice,low,assured,good,0.45,16,low,poor,consumption,0
1.69,10,260651,154231.36,23695.55,millets,high,rainfed,good,0.67,27,low,good,productive,0
5.02,16,167451,33356.77,9850.06,rice,low,rainfed,average,0.89,34,high,poor,consumption,1
1.1,9,310266,282060.0,31026.6,cotton,high,rainfed,poor,0.75,1,low,good,consumption,1
3.03,25,283568,93586.8,10906.46,wheat,high,assured,average,0.91,34,high,mixed,productive,0
3.99,3,399950,100238.1,99987.5,rice,low,assured,good,0.82,21,low,none,consumption,1
0.85,23,393993,463521.18,16416.38,millets,low,partial,average,0.65,32,low,none,semi,1
0.54,12,65106,120566.67,5008.15,wheat,high,partial,average,0.19,18,high,none,productive,1
